source,target,context
Asset Management,إدارة الأصول,
Asset Requisition,طلب أصل,
Asset Retention Request,طلب الاحتفاظ بأصل,
Asset Movement,حركة أصل,
Asset Repair,إصلاح أصل,
Asset Category,فئة الأصل,
Asset Loan,إعارة أصل,
Asset Disposal Request,طلب إتلاف أصل,
Asset Condition Assessment,تقييم حالة الأصل,
Pending Asset Requests,طلبات في انتظار الموافقة,
Assets In Transit,أصول في العبور,
Under Warranty Assets,أصول تحت الضمان,
Assets Under Repair,أصول في الإصلاح,
Sticker Code,كود الستيكر,
Asset Condition,حالة الأصل,
Iron Code,كود حديد,
Tagging Photo,صورة الترميز,
Tagged By,ترميز بواسطة,
Tagged On,تاريخ الترميز,
Operational Status,الحالة التشغيلية,
Activation Date,تاريخ التفعيل,
Activated By,مُفعَّل بواسطة,
Incomplete,غير مكتمل,
Operational,تشغيلي,
In Transit,في العبور,
Under Warranty,تحت الضمان,
Warranty Expiry,تاريخ انتهاء الضمان,
Insurance Provider,شركة التأمين,
Policy Number,رقم الوثيقة,
Insured Value,قيمة التأمين,
Insurance Expiry Date,تاريخ انتهاء التأمين,
Total Maintenance Cost,إجمالي تكلفة الصيانة,
Last Maintenance Date,تاريخ آخر صيانة,
Technician Name,اسم الفني,
Labor Cost,تكلفة العمالة,
Repair Notes,ملاحظات الإصلاح,
Before Repair,قبل الإصلاح,
After Repair,بعد الإصلاح,
Driver Name,اسم السائق,
Vehicle Number,رقم السيارة,
Expected Arrival,التوقيت المتوقع للوصول,
Receipt Confirmed,تأكيد الاستلام,
Approval Status,حالة الموافقة,
Capitalization Threshold,حد الرسملة,
Spare Asset,أصل احتياطي,
Used Asset Depreciation Rate,نسبة إهلاك الأصل المستعمل,
Tag Type,نوع الترميز,
Warranty Expiry Alerts,تنبيهات انتهاء الضمان,
CapEx Capitalization,رسملة النفقات الرأسمالية,
In Transit Assets,الأصول في العبور,
Asset Requisition Status,حالة طلبات الأصول,
Incomplete Assets,الأصول غير المكتملة,
Maintenance Cost Detail,تفاصيل تكلفة الصيانة,
Asset Age Analysis,تحليل عمر الأصول,
Department Asset Summary,ملخص أصول الإدارات,
Maintenance Cost Ratio,نسبة تكلفة الصيانة,
Asset Location Map,خريطة توزيع الأصول,
Upcoming Maintenance,الصيانة القادمة,
Asset Lifecycle Cost,التكلفة الإجمالية للأصل,
Depreciation Forecast,توقعات الإهلاك,
Loaned To,معار إلى,
Loan Date,تاريخ الإعارة,
Expected Return Date,تاريخ الإعادة المتوقع,
Actual Return Date,تاريخ الإعادة الفعلي,
Return Condition,حالة الأصل عند الإعادة,
Disposal Reason,سبب الإتلاف,
Disposal Method,طريقة الإتلاف,
Approval Date,تاريخ الموافقة,
Rejection Reason,سبب الرفض,
Estimated Realizable Value,القيمة التحصيلية المقدرة,
Condition Rating,تقييم الحالة,
Findings,الملاحظات,
Recommended Action,الإجراء الموصى به,
Pending Approval,في انتظار الموافقة,
Approved,موافق,
Rejected,مرفوض,
Fulfilled,مُنفَّذ,
Draft,مسودة,
Submit for Approval,إرسال للموافقة,
Approve,موافقة,
Reject,رفض,
Resubmit,إعادة الإرسال,
Excellent,ممتاز,
Good,جيد,
Fair,مقبول,
Poor,ضعيف,
Critical,حرج,
End of Life,انتهاء العمر الافتراضي,
Beyond Repair,لا يمكن إصلاحه,
Technology Obsolescence,تقادم تكنولوجي,
Surplus,فائض,
Loss / Theft,فقدان / سرقة,
Scrap,خردة,
Sale,بيع,
Donation,تبرع,
Write-off,شطب,
No Action,لا إجراء,
Schedule Maintenance,جدولة صيانة,
Replace,استبدال,
Dispose,إتلاف,
Age Bracket,فئة العمر,
Age (Years),العمر (سنوات),
Gross Value,القيمة الإجمالية,
Current Book Value,القيمة الدفترية الحالية,
Total Depreciation,إجمالي الإهلاك,
Total Repair Cost,إجمالي تكلفة الإصلاح,
Asset Count,عدد الأصول,
Repair / Value %,نسبة الإصلاح إلى القيمة,
Flag,تنبيه,
Consider Replace,يُنصح بالاستبدال,
Monitor,متابعة,
Days Until Due,الأيام حتى الاستحقاق,
Purchase Date,تاريخ الشراء,
Total Cost of Ownership,إجمالي تكلفة الملكية,
Annual Depreciation,الإهلاك السنوي,
Asset Count Sheet,كشف جرد الأصول,
Asset Barcode Label,ملصق باركود الأصل,
Asset Register,سجل الأصول
Gross Block,إجمالي التكلفة
Opening Accum. Dep.,الإهلاك المتراكم الافتتاحي
Accumulated Depreciation,الإهلاك المتراكم
Net Book Value,القيمة الدفترية الصافية
Dep. Method,طريقة الإهلاك
Useful Life (Months),العمر الإنتاجي (شهر)
Booked Dep. Entries,قيود الإهلاك المرحّلة
Include Scrapped / Sold,تضمين المخردة والمباعة
Available-for-use Date,تاريخ بدء الاستخدام
